"region_cd","id","yearquarter","count","runoff_mmd","rank","n","ptile","class"
"AK","02","2017Q4","88","1.39488","65","89","72.22","4"
"AL","01","2017Q4","53","1.03574","34","89","37.78","4"
"AR","05","2017Q4","57","0.24281","77","89","85.56","5"
"AZ","04","2017Q4","84","0.01354","84","89","93.33","6"
"CA","06","2017Q4","142","0.32906","47","89","52.22","4"
"CO","08","2017Q4","94","0.09231","27","89","30","4"
"CT","09","2017Q4","14","1.09744","55","89","61.11","4"
"DC","11","2017Q4","2","0.3273","75","89","83.33","5"
"DE","10","2017Q4","8","0.62108","66","89","73.33","4"
"FL","12","2017Q4","46","1.05045","15","89","16.67","3"
"GA","13","2017Q4","53","0.45135","66","89","73.33","4"
"HI","15","2017Q4","62","3.689","61","89","67.78","4"
"IA","19","2017Q4","58","0.33504","27","89","30","4"
"ID","16","2017Q4","90","0.42632","21","89","23.33","3"
"IL","17","2017Q4","52","0.33419","51","89","56.67","4"
"IN","18","2017Q4","39","0.76327","33","89","36.67","4"
"KS","20","2017Q4","92","0.05715","58","89","64.44","4"
"KY","21","2017Q4","44","1.007","39","89","43.33","4"
"LA","22","2017Q4","44","0.28405","75","89","83.33","5"
"MA","25","2017Q4","20","1.13255","51","89","56.67","4"
"MD","24","2017Q4","20","0.53888","71","89","78.89","5"
"ME","23","2017Q4","21","1.4886","40","89","44.44","4"
"MI","26","2017Q4","58","1.08892","6","89","6.67","2"
"MN","27","2017Q4","81","0.48809","8","89","8.89","2"
"MO","29","2017Q4","66","0.21095","67","89","74.44","4"
"MS","28","2017Q4","55","0.54268","61","89","67.78","4"
"MT","30","2017Q4","112","0.22305","22","89","24.44","3"
"NC","37","2017Q4","55","0.52375","68","89","75.56","5"
"ND","38","2017Q4","50","0.03162","26","89","28.89","4"
"NE","31","2017Q4","71","0.14058","3","89","3.33","2"
"NH","33","2017Q4","14","1.73238","24","89","26.67","4"
"NJ","34","2017Q4","13","0.70949","78","89","86.67","5"
"NM","35","2017Q4","79","0.03479","17","89","18.89","3"
"NV","32","2017Q4","68","0.26861","1","89","1.11","1"
"NY","36","2017Q4","54","1.41547","39","89","43.33","4"
"OH","39","2017Q4","44","0.86607","23","89","25.56","4"
"OK","40","2017Q4","68","0.11583","54","89","60","4"
"OR","41","2017Q4","87","1.28123","48","89","53.33","4"
"PA","42","2017Q4","56","0.98464","55","89","61.11","4"
"PR","72","2017Q4","66","5.9549","4","75","5.26","2"
"RI","44","2017Q4","6","1.22421","47","89","52.22","4"
"SC","45","2017Q4","35","0.50641","75","89","83.33","5"
"SD","46","2017Q4","56","0.07024","7","89","7.78","2"
"TN","47","2017Q4","59","1.19791","43","89","47.78","4"
"TX","48","2017Q4","189","0.05789","68","89","75.56","5"
"UT","49","2017Q4","65","0.08446","41","89","45.56","4"
"VA","51","2017Q4","47","0.34131","77","89","85.56","5"
"VT","50","2017Q4","17","1.25689","51","89","56.67","4"
"WA","53","2017Q4","71","2.9387","36","89","40","4"
"WI","55","2017Q4","50","0.76704","20","89","22.22","3"
"WV","54","2017Q4","37","0.72862","62","89","68.89","4"
"WY","56","2017Q4","83","0.15811","5","89","5.56","2"
