"region_cd","id","yearquarter","count","runoff_mmd","rank","n","ptile","class"
"AK","02","2018Q1","89","0.40463","69","89","76.67","5"
"AL","01","2018Q1","53","2.10028","62","89","68.89","4"
"AR","05","2018Q1","57","2.47812","16","89","17.78","3"
"AZ","04","2018Q1","84","0.01562","89","89","98.89","7"
"CA","06","2018Q1","142","0.59081","66","89","73.33","4"
"CO","08","2018Q1","94","0.06898","55","89","61.11","4"
"CT","09","2018Q1","14","3.03997","20","89","22.22","3"
"DC","11","2018Q1","2","0.89775","73","89","81.11","5"
"DE","10","2018Q1","8","1.78882","42","89","46.67","4"
"FL","12","2018Q1","46","0.6047","70","89","77.78","5"
"GA","13","2018Q1","53","0.96619","78","89","86.67","5"
"HI","15","2018Q1","61","4.59421","46","89","51.11","4"
"IA","19","2018Q1","58","0.42544","48","89","53.33","4"
"ID","16","2018Q1","90","0.66448","15","89","16.67","3"
"IL","17","2018Q1","52","1.25315","30","89","33.33","4"
"IN","18","2018Q1","39","2.04525","17","89","18.89","3"
"KS","20","2018Q1","92","0.05073","63","89","70","4"
"KY","21","2018Q1","44","3.37117","16","89","17.78","3"
"LA","22","2018Q1","43","2.44194","25","89","27.78","4"
"MA","25","2018Q1","20","2.95693","13","89","14.44","3"
"MD","24","2018Q1","20","1.49239","47","89","52.22","4"
"ME","23","2018Q1","21","1.86394","16","89","17.78","3"
"MI","26","2018Q1","58","1.15068","21","89","23.33","3"
"MN","27","2018Q1","81","0.228","36","89","40","4"
"MO","29","2018Q1","66","0.83402","44","89","48.89","4"
"MS","28","2018Q1","54","2.68146","33","89","36.67","4"
"MT","30","2018Q1","112","0.29671","7","89","7.78","2"
"NC","37","2018Q1","55","1.23424","68","89","75.56","5"
"ND","38","2018Q1","50","0.038","48","89","53.33","4"
"NE","31","2018Q1","71","0.12409","33","89","36.67","4"
"NH","33","2018Q1","14","2.38877","14","89","15.56","3"
"NJ","34","2018Q1","13","2.21406","24","89","26.67","4"
"NM","35","2018Q1","79","0.02048","77","89","85.56","5"
"NV","32","2018Q1","68","0.29394","3","89","3.33","2"
"NY","36","2018Q1","54","2.43782","15","89","16.67","3"
"OH","39","2018Q1","44","2.37493","12","89","13.33","3"
"OK","40","2018Q1","68","0.43657","29","89","32.22","4"
"OR","41","2018Q1","87","1.6104","67","89","74.44","4"
"PA","42","2018Q1","56","2.71622","15","89","16.67","3"
"PR","72","2018Q1","65","1.58309","11","75","14.47","3"
"RI","44","2018Q1","6","3.88358","4","89","4.44","2"
"SC","45","2018Q1","35","0.80587","79","89","87.78","5"
"SD","46","2018Q1","56","0.08281","17","89","18.89","3"
"TN","47","2018Q1","59","3.43798","18","89","20","3"
"TX","48","2018Q1","189","0.27136","36","89","40","4"
"UT","49","2018Q1","65","0.08433","59","89","65.56","4"
"VA","51","2018Q1","47","1.11452","65","89","72.22","4"
"VT","50","2018Q1","17","2.20424","18","89","20","3"
"WA","53","2018Q1","71","3.26447","36","89","40","4"
"WI","55","2018Q1","50","0.67426","40","89","44.44","4"
"WV","54","2018Q1","37","2.98521","17","89","18.89","3"
"WY","56","2018Q1","83","0.1294","10","89","11.11","3"
